Srno,RecipeName,Ingredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,TranslatedInstructions,URL
1,Masala Karela Recipe,"6 Karela (Bitter Gourd/ Pavakkai) - deseeded,Salt - to taste,1 Onion - thinly sliced,3 tablespoon Gram flour (besan),2 teaspoons Turmeric powder (Haldi),1 tablespoon Red Chilli powder,2 teaspoons Cumin seeds (Jeera),1 tablespoon Coriander Powder (Dhania),1 tablespoon Amchur (Dry Mango Powder),Sunflower Oil - as required",15,30,45,6,Indian,Side Dish,Diabetic Friendly,"To begin making theÿMasala Karela Recipe,de-seed the karela and slice. Do not remove the skin as the skin has all the nutrients.ÿAdd the karela to the pressure cooker with 3 tablespoon of water, salt and turmeric powder and pressure cook for three whistles. Release the pressure immediately and open the lids. Keep aside.Heat oil in a heavy bottomed pan or a kadhai. Add cumin seeds and let it sizzle.Once the cumin seeds have sizzled, add onions and saute them till it turns golden brown in color.Add the karela,ÿred chilli powder, amchur powder, coriander powder and besan. Stir to combine the masalas into the karela.Drizzle a little extra oil on the top and mix again. Cover the pan and simmerÿMasala Karela stirring occasionally until everything comes together well. Turn off the heat.TransferÿMasala Karela into a serving bowl and serve.ServeÿMasala Karelaÿalong withÿPanchmel DalÿandÿPhulkaÿfor a weekday meal with your family.ÿ",https://www.archanaskitchen.com/masala-karela-recipe
2,Spicy Tomato Rice (Recipe),"2-1 / 2 cups rice - cooked, 3 tomatoes, 3 teaspoons BC Belle Bhat powder, salt - as per taste, 1 teaspoon chickpea lentils, 1/2 teaspoon cumin seeds, 1 teaspoon white urad dal, 1/2 Teaspoon mustard, 1 green chilli, 1 dry red chilli, 2 teaspoon cashew - or peanuts, 1-1 / 2 tablespoon oil - 1/2 teaspoon asafoetida",5,10,15,3,South Indian Recipes,Main Course,Vegetarian,"To make tomato puliogere, first cut the tomatoes. Now put in a mixer grinder and puree it. Now heat oil in a pan. After the oil is hot, add chana dal, urad dal, cashew and let it cook for 10 to 20 seconds. After 10 to 20 seconds, add cumin seeds, mustard seeds, green chillies, dry red chillies and curry leaves. After 30 seconds, add tomato puree to it and mix. Add BC Belle Bhat powder, salt and mix it. Allow to cook for 7 to 8 minutes and then turn off the gas. Take it out in a bowl, add cooked rice and mix it. Serve hot. Serve tomato puliogre with tomato cucumber raita and papad for dinner.",http://www.archanaskitchen.com/spicy-tomato-rice-recipe-in-hindi
3,Ragi Semiya Upma Recipe - Ragi Millet Vermicelli Breakfast,"1-1/2 cups Rice Vermicelli Noodles (Thin),1 Onion - sliced,1/2 cup Carrots (Gajjar) - chopped,1/3 cup Green peas (Matar),2 Green Chillies,1/4 teaspoon Asafoetida (hing),1 teaspoon Mustard seeds,1 teaspoon White Urad Dal (Split),1 teaspoon Ghee,1 sprig Curry leaves,Salt - to taste,1 teaspoon Lemon juice",20,30,50,4,South Indian Recipes,South Indian Breakfast,High Protein Vegetarian,"To begin making the Ragi Vermicelli Recipe, first steam the ragi vermicelli in a rice cooker or a steamer for about 5-6 minutes or till it is cooked but firm.Keep aside this aside till later use. You can add a few drops of oil and mix it so that they don't stick to each other.Place a kadai on the heat, add the ghee or oil to it and when warm add hing and allow it to sizzle for 30 seconds. Then follow it up with mustard seeds, urad dal and curry leaves, and allow them to crackle.Saute for 1 minute or so till the urad dal is slightly browned.Then, add onions and fry till translucent and soft.Next, add the green chillies along with par boiled carrots and peas. Sprinkle some salt and cook for 2-3 minutes or until the vegetables are semi cooked.Then, add the steamed ragi vermicelli toss it together so the vegetables are all well combined.Switch off the heat, take the vermicelli out into a serving dish and to with lemon juice. Mix well and serve along withÿCoconut Chutneyÿand a hot cup of coffee or tea for a wholesome breakfast.",http://www.archanaskitchen.com/ragi-vermicelli-semiya-recipe-healthy-finger-millet-semiya-breakfast
4,Gongura Chicken Curry Recipe - Andhra Style Gongura Chicken,"500 grams Chicken,2 Onion - chopped,1 Tomato - chopped,4 Green Chillies - slit,1 inch Ginger - finely chopped,6 cloves Garlic - finely chopped,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Garam masala powder,2 tablespoon Sesame (Gingelly) Oil,Salt - to taste,1/4 teaspoon Methi Seeds (Fenugreek Seeds),1 tablespoon Coriander (Dhania) Seeds,4 Dry Red Chillies,1 teaspoon Fennel seeds (Saunf),1 teaspoon Sesame (Gingelly) Oil,4 cloves Garlic,2 cups Sorrel Leaves (Gongura) - picked and chopped,Salt - to taste",15,30,45,4,Andhra,Lunch,Non Vegeterian,"To begin makingÿGongura Chicken Curry Recipe first prep all the ingredients and keep them aside.In a small pan, dry roast the methi seeds, coriander seeds, fennel seeds and red chillies for about 3 to 4 minutes on medium heat, until you notice the seeds crackling.ÿOnce done, turn off the heat and allow it to cool a bit and blend it into a smooth powder.Heat oil in a pressure cooker over medium heat; add the chopped onions, ginger, garlic and green chillies and saute until the onions are lightly browned and tender.Add the tomatoes, and saute until the tomatoes become soft and mushy. Once done add the chicken, the garam masala and turmeric powder. Add 1/4 cup of water and pressure cook the chicken for 3 to 4 whistles and turn off the heat.Once done, allow the pressure to release naturally.Make sure there are no stems when you pick the gongura leaves. Wash and chop the gongura leaves and keep aside.In another pan,add some oil along garlic and saute the chopped gongura leaves along with a little salt and the ground masala. The gongura leaves will wilt almost instantly. Saute the gongura in the masala for about 3 to 4 minutes until it becomes like a mushy paste.Once done, add the cooked chicken curry into the Gongura masala and saute on high heat for another 2 minutes and turn off the heat.Check the salt and spices and adjust according to taste. Transfer theÿGongura Chicken Curry to a serving bowl and serve hot.Serve Gongura Chicken withÿGhee Rice Recipe | Neychoruÿ,ÿTomato Onion Cucumber Raita Recipeÿand aÿSemiya Payasamÿfor a delicious weekend lunch.",http://www.archanaskitchen.com/gongura-chicken-curry-recipe-andhra-style-gongura-chicken
5,Andhra Style Alam Pachadi Recipe - Adrak Chutney (Recipe),"1 tablespoon chana dal, 1 tablespoon white urad dal, 2 red chillies, 1 tablespoon coriander seeds, 3 inches ginger - chop, 1 onion - chop, 1 tomato - chop, salt - as per taste, 1 Teaspoon mustard, asafoetida - a pinch, oil - as per use, 1 sprig curry",10,20,30,4,Andhra,South Indian Breakfast,Vegetarian,"To make Andhra Style Alam Pachadi, first heat oil in a pan. Add lentils and cook till it turns brown. Now add dry red chillies, coriander seeds, onion, ginger and cook till the onion becomes soft. After the onion is cooked, add tomatoes and cook till the tomatoes become soft. Turn off the gas and allow it to cool. After it cools down, put it in a mixer grinder and make a paste. For tempering, heat the oil in a small pan. Add mustard seeds and let it cook for 10 seconds. Now add curry leaves, asafoetida and let it cook for 10 seconds. Add it to the chutney and mix. Serve Andhra Style Alam Pachadi with Ghee Roast Dosa and Kirai Sambar for breakfast.",https://www.archanaskitchen.com/andhra-style-allam-pachadi-ginger-chutney-recipe-in-hindi
6,Pudina Khara Pongal Recipe (Rice and Lentils Cooked With Mint Leaves & Mild Spices),"1 cup Rice - soaked for 20 minutes,1/2 cup Yellow Moong Dal (Split) - soaked for 20 minutes,1 cup Mint Leaves (Pudina) - tightly packed,1/4 cup Coriander (Dhania) Leaves - tightly packed,1 Green Chilli,1 inch Ginger,1 teaspoon Cumin seeds (Jeera),5 cups Water,1 teaspoon Sunflower Oil,Salt - to taste,2 tablespoons Ghee,8 Cashew nuts - halved,1 teaspoon Cumin seeds (Jeera),1 teaspoon Whole Black Peppercorns,1 sprig Curry leaves,1 pinch Asafoetida (hing)",10,20,30,4,South Indian Recipes,South Indian Breakfast,High Protein Vegetarian,"To begin makingÿPudina Khara Pongal Recipe, wash and soak the rice and dal for 20 minutes.Make a paste of mint/pudina, coriander, green chilli and ginger using a mixer grinder and keep aside.Now, heat oil in the pressure cooker, add the cumin seeds and let it crackle.Add the soaked rice and dal and fry for a few minutes.Add the mint coriander paste and saute for a minute.Add 5 cups of water, season with salt and pressure cook for 4 to 5 whistles and keep aside.In the mean prepare the tadka by heating ghee in a small tadka pan.Add in the cumin seeds, peppercorns and let it crackle.Add the cashew halves and fry till they turn golden.Add the curry leaves and asafoetida and turn off the flame.Once the pressure has been released, open the lid and mash the pongal mixture.Add in the tadka over it andÿServe the Pudina Khara Pongal Recipe along withÿKathirikai Gothsu Recipe (Spicy and Tangy Eggplant Curry)andÿSouth Indian Coconut Chutneyÿfor a relaxed weekend breakfast.",http://www.archanaskitchen.com/pudina-khara-pongal-recipe-rice-and-lentils-cooked-with-mint-leaves-mild-spices
7,Udupi Style Ash Gourd Coconut Curry Recipe,"500 grams Vellai Poosanikai (Ash gourd/White Pumpkin),1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,Sunflower Oil - for cooking,4 Dry Red Chillies,1/2 cup Fresh coconut - grated,30 grams Tamarind Water,1/2 teaspoon Methi Seeds (Fenugreek Seeds),1/2 teaspoon Cumin seeds (Jeera),2 teaspoons Coriander (Dhania) Seeds,2 teaspoons Sesame seeds (Til seeds),3 tablespoons Jaggery,1 cup Tamarind Water,1 teaspoon Sunflower Oil,1/2 teaspoon Mustard seeds,2 sprig Curry leaves - roughly torn,1 Dry Red Chillies",10,30,40,4,Udupi,Lunch,Vegetarian,"To begin making the Udupi Style Ash Gourd Coconut Curry Recipeÿ cook the ash gourd in the pressure cooker with little water, turmeric powder and salt for just 1 whistle. Release the pressure naturally.Soak the tamarind ball in hot water for about 15 minutes, and squeeze and keep the water.Then dry roast the spices and other ingredients for the ground paste in a pan except the coconut. Then grind it along with coconut to a smooth paste.In same pressure cooker which has the ash gourd add the paste and little water and give it stir. Keepÿthe Udupi Ash Gourd Coconut Curry on the medium heat, Adjust the seasoning and texture if required. Once done transfer it in a bowl.For the seasoning, heat oil in a small skillet and add mustard seeds and let it crackle. After the mustard seeds have crackled add the curry leaves and red chillies. Tun off the heat after the red chillies have darkened and add it on top of the Udupi Style Ash Gourd Coconut Curry and serve.ÿServe the Udupi Style Ash Gourd Coconut Curry Recipe along with steamed rice,ÿElai Vadam ÿandÿPisarna Manga for lunch.",http://www.archanaskitchen.com/udupi-style-ash-gourd-coconut-curry-recipe
8,Mexican Style Black Bean Burrito Recipe,"4 Tortillas,1/4 cup Black beans - soaked overnight and  cooked,6 to 8 Spinach Leaves (Palak),1 Onion - chopped,1 Tomato - chopped,2 cloves Garlic - chopped,2 sprig Coriander (Dhania) Leaves,1 cup Rice - or brown rice,1 Lemon juice,4 Spring Onion Greens - chopped,4 tablespoons Cheddar cheese,4 tablespoon Hung Curd (Greek Yogurt)",10,30,40,4,Mexican,Lunch,Vegetarian,"To begin making the Black Bean Burrito recipe, pick the coriander leaves and set aside, then finely slice the stalks.Keep it aside.Heat 1 tablespoon of oil in a heavy bottomed pan over a medium heat, add the chopped garlic and coriander stalks and fry till they become brown.Add the cooked beans, mix it well and cook for a minute. Add the rice and cook for further 5 minutes.ÿRemove from the heat and add coriander leaves that were kept aside.ÿFor Salsa, toss together tomatoes, onions, spring onions, lime juice, coriander leaves, mix well using a fork and season to taste.Heat the tortillas on a griddle pan till it softens. Lay it on a plate.Layer spinach leaves over the ÿtortilla. Spoon one-quarter of the fried rice and beans, top with a generous spoonful of salsa.Grate over some cheese and add a spoon of yoghurt. Wrap up the burrito, then tuck it in.Repeat with the remaining ingredients to make the rest of the burritos.ÿServe Black Bean Burrito with a side of chips and a healthyÿGreen Apple, Radish & Pepper Saladÿ and a glass ofÿCarrot Pineapple Orange Juice Recipeÿto make a delicious lunch or dinner.",https://www.archanaskitchen.com/black-bean-burrito-recipe
9,Spicy Crunchy Masala Idli Recipe,"10 Idli - cut into strips,1 cup Green Bell Pepper (Capsicum) - thinly sliced,1 cup Tomato - finely chopped,1 cup Onions - finely chopped,2 Green Chillies - finely chopped,1/4 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),3 tablespoons Tomato Ketchup,Coriander (Dhania) Leaves - to taste,Mint Leaves (Pudina) - to taste,2 teaspoons Sunflower Oil,Salt - to taste",10,20,30,3,South Indian Recipes,Snack,Vegetarian,"To prepare Spicy Crunchy Masala Idli Recipe, Heat a tablespoon of oil in a heavy bottomed pan and stir fry them until they are lightly crisp. Transfer to a bowl and keep aside.In 2 teaspoons of oil the same pan; add in the onions, capsicum, green chillies and saute them on medium heat until tender. This takes about 5 to 7 minutes. ÿAdd in the chopped tomatoes, salt, pepper, turmeric powder, chilli powder and stir well. Saute until the tomatoes turn soft.ÿFinally stir in the tomato ketchup, the fried idli's the chopped coriander and mint leaves. Stir fry on high heat until well combined just for about a minute.Turn off the heat and transfer the Spicy Crunchy Masala Idli Recipeÿto a serving bowl and serve hot topped with more date chutney or tomato ketchup.",http://www.archanaskitchen.com/spicy-crunchy-masala-idli-recipe
10,Cauliflower Leaves Chutney (Recipe in Hindi),"1 cup cabbage leaves, 3/4 cup tomatoes, 18 grams tamarind, 2 tablespoons white urad dal, 4 red chillies, salt - as per taste, asafoetida - a pinch, 3 cloves garlic, turmeric powder - a pinch, 1 big Spoon oil, 1 teaspoon Rye, 1/2 teaspoon Cumin seeds, 1 sprig Curry leaves",5,20,25,3,South Indian Recipes,Side Dish,Vegetarian,"To make cauliflower leaf chutney, first of all take out the leaf inside the cabbage and wash it well. Dry and cut it well. Heat the oil in a pan. Add urad dal, dry red chilli and cook till the dal turns golden. Keep it aside. Add some more oil to the same pan. Add cabbage leaves, salt and cook till the leaves become soft. Now add tomatoes, garlic and mix well. Cook until tomatoes are soft. After cooking, turn off the gas and allow this mixture to cool. Pour it into a mixer grinder with the dal mixture and grind it. Add some water and salt and grind it once more. For tempering, add mustard seeds to a tempering pan. After 10 seconds, add cumin, asafoetida and curry leaves. After 15 seconds, add it to the chutney and mix. Serve Cabbage Leaves Chutney with Vegetable Sambar and Rice for dinner.",http://www.archanaskitchen.com/cauliflower-leaves-chutney-recipe-in-hindi
